english,tamil_reference
"And I say not unto you that with me are the treasures of Allah, nor that I know the Unseen; nor I say, I am an angel. And say not of those whom your eyes condemn that Allah shall not bestow on them good - -Allah knoweth best that which is in theeir souls. Verily in that case would be of the wrong-doers.","""அல்லாஹ்வுடைய பொக்கிஷங்கள் என்னிடம் இருக்கின்றன என்று நான் உங்களிடம் கூறவில்லை; மறைவானவற்றை நான் அறிந்தவனுமல்லன், நிச்சயமாக நான் ஒரு மலக்கு என்றும் நான் கூறவில்லை; எவர்களை உங்களுடைய கண்கள் இழிவாக நோக்குகின்றனவோ, அவர்களுக்கு அல்லாஹ் யாரொரு நன்மையும் அளிக்கமாட்டான் என்றும் நான் கூறவில்லை; அவர்களின் இதயங்களில் உள்ளதை அல்லாஹ்வே நன்கு அறிந்தவன் (இவ்வுண்மைகளுக்கு மாறாக நான் எதுவும் செய்தால்) நிச்சயமாக நானும் அநியாயக்காரர்களில் ஒருவனாகி விடுவேன்"" (என்றும் கூறினார்)."
Bad argument,தவறான துணையலகு
Your emails,"sshanmu@ yahoo. com, omathiss@ hotmail. com, tvasee@ usa. net, ma_ sivakumar@ hotmail. com"
Hue,சாயல்
Score:,மதிப்பெண்:
The height of the assistant window.,முக்கிய சாளரத்தின் உயரம்
"""We only feed you for the sake of God and we do not want any reward or thanks from you.","""உங்களுக்கு நாங்கள் உணவளிப்பதெல்லாம், அல்லாஹ்வின் முகத்திற்காக (அவன் திருப்பொருத்தத்திற்காக); உங்களிடமிருந்து பிரதிபலனையோ (அல்லது நீங்கள்) நன்றி செலுத்த வேண்டுமென்பதையோ நாங்கள் நாடவில்லை"" (என்று அவர்கள் கூறுவர்)."
Split Mode (Auto Split),பிரிப்பு வகை (தானாக பிரித்தல்)
General,பொதுவாக
"By Allah, We indeed sent (Messengers) to the nations before you (O Muhammad SAW), but Shaitan (Satan) made their deeds fair-seeming to them. So he (Satan) is their Wali (helper) today (i.e. in this world), and theirs will be a painful torment.","அல்லாஹ்வின் மீது சத்தியமாக, உமக்கு முன்னிருந்த வகுப்பார்களுக்கும் நாம் (தூதர்களை) அனுப்பிவைத்தோம் - ஆனால் ஷைத்தான் அவர்களுக்கு அவர்களுடைய (தீய) செயல்களையே அழகாக்கி வைத்தான் - ஆகவே இன்றைய தினம் அவர்களுக்கும் அவனே உற்ற தோழனாக இருக்கின்றான் - இதனால் அவர்களுக்கு நோவினை செய்யும் வேதனையுண்டு."
Tools,கருவிகள்
"And they used to hew out dwellings from the hills, (wherein they dwelt) secure.","அச்சமற்றுப் பாதுகாப்பாக வாழலாம் எனக்கருதி, அவர்கள் மலைகளைக் குடைந்து வீடுகளை அமைத்துக் கொண்டார்கள்."
"Disdaining ungratefully Our gifts, and giving themselves up to (worldly) enjoyment! But soon will they know.","அவர்கள், நாம் அவர்களுக்கு அளித்துள்ளவற்றுக்கு மாறு செய்து கொண்டு, (இவ்வுலகின் அற்ப) சுகங்களை அனுபவிக்கட்டும் - ஆனால் (தம் தீச்செயல்களின் பயனை) அறிந்து கொள்வார்கள்."
Decrypt file(s),விசைகள் அழிக்கப்படுகின்றன...
Retrieving DVD keys,டிவிடிவிசைகளை மீட்டெடுக்கிறது.
Surface height,மேற்பரப்பு உயரம்
"Transcoding ""%s""",(%s) ஐ வேறு குறியாக்குகிறது
What kind of father does that make you?,நீ என்ன மாதிரியான அப்பா நீ இருப்பாய்?
Text Direction,உரை திசை
"excruciating, takes over an hour.",தாங்கமுடியாத ஒரு மணி நேரத்திற்கு மேல் ஆகிறது.
File,கோப்பு
- Yes.,- ஆம்.
- Bharti.,பார்தி.
Confirmation,உறுதிப்படுத்தல்
list,பட்டியல்
Thiswillbe dangerclose.,இந்தdangercloseஇருக்கும்.
Specify Location,இடத்தைக் குறிப்பிடு
"Is He, then, who creates like him who does not create? Will you not, then, take heed?","(அனைத்தையும்) படைக்கிறானே அவன், (எதையுமே) படைக்காத (நீங்கள் வணங்குப)வை போலாவானா? நீங்கள் (இதையேனும்) சிந்திக்க வேண்டாமா?"
Name,பெயர்
No file filtered,கோப்பு ஏதும் வடிகட்டப்படவில்லை
Rendering quality used when drawing the texture,அமைப்பை வரையும் போது தரத்தை வழங்கும் போது பயன்படுத்தப்பட்டது
Delete,நீக்கு
..looking for signs of life.,..வாழ்க்கைஅறிகுறிகள்தேடும்.
- Morel wants some more whisky. - All right.,- Morel இன்னும் சில விஸ்கி விரும்புகிறது.
"Tower, we're going offline soon, but drones are already mobile and executing.","டவர்,நாம்விரைவில்தான்போகிறோம் , ஆனால்ட்ரான்ஸ்ஏற்கனவே மொபைல் மற்றும் நிறைவேற்றி உள்ளன"
Your names,EMAIL OF TRANSLATORS
File %1 does not exist,்பு% 1 எனும் கோப்பு இல்லை.
Argentina,ஆர்சென்டினாName
- and a cup of coffee.,- மற்றும் ஒரு கப் காபி.
Close,அனைத்தையும் மூடு
Yes.,ஆமாம்.
Copying audio track,ஒலி தடத்தை நகலெடுக்கிறது
We got to let loose.,நாங்கள்அனுமதிக்கவேண்டும்தளர்வான
"All right, look, we're not going to let a couple of seagulls ruin our moment.",சரி இந்த கடல்பறவைங்க நம்மோட இந்த நேரத்த வீணாக்கவிட வேண்டாம்.
Why?,ஏன்?
About,அறிக்கை
Prince Edward Island,"பிரின்ஸ் எட்வர்ட் தீவுCity name (optional, probably does not need a translation)"
Your emails,jvijay_ loyola@ hotmail. com
Rooftops,மேற்கூறைகள்
Crimean Tatar,கிரீமியன் டாடர்Name
Si Sa Ket,thailand. kgm
‹ (#8249;) Single Left-Pointing Angle Quotation mark,‹ (# 8249;) ஒற்றை இடது- குறிக்கும் திசை மேற்கோள் குறி
File Downloader,கோப்பு தரவிறக்கி
Delete,சட்டத்தினை காட்டு
(SOLDIERS SHOUTING IN KOREAN),(சிப்பாய்கள்கொரியமொழியில்கத்தி)
He just wandered in off the street. This is a fucking showroom!,- அவன் தெருவுல சுத்திட்டிருக்கான்.
BAILER,Constellation name (optional)
I've read quite a bit myself.,நான் மிகவும் ஒரு பிட் நானே வாசிக்க.
Destroyed,அழிக்கப்பட்டது
"""%s"" cannot be unlocked","""%s"" ஐ பூட்டு திறக்க முடியாது"
Disable batching of geometry in the Cogl Journal.,Cogl இதழில் வடிவங்களைத் தொகுப்பாக்கம் செய்தலை முடக்கு.
Mapped,வரைபடமாக்கப்பட்டது
Yeah. I straight hustle.,"ஆமாம், நான் நேராக தள்ளு"
Stop,& நிறுத்து
"They measure not Allah His rightful measure. Lo! Allah is Strong, Almighty.",அவர்கள் அல்லாஹ்வைக் கண்ணியப்படுத்த வேண்டியாவாறு கண்ணயப்படுத்தவில்லை நிச்சயமாக அல்லாஹ் வல்லமை மிக்கவன்; (யாவரையும்) மிகைத்தவன்.
Your names,தங்கம் அருண்EMAIL OF TRANSLATORS
Eagle Wing,கழுகு இறக்கை
Today only,இன்றே துவங்குக
Pyeongyang,பென்சின்வேனியாworld. kgm
"Those who have said that the Messiah, son of Mary, is God, have, in fact, committed themselves to disbelief. (Muhammad), ask them, ""Who can prevent God from destroying the Messiah, his mother and all that is in the earth?"" To God belongs all that is in the heavens, the earth, and all that is between them. God creates whatever He wants and He has power over all things.","திடமாக எவர் மர்யமுடைய குமாரர் மஸீஹ் (ஈஸா) தான் அல்லாஹ் என்று கூறுகிறாரோ, அத்ததையோர் நிச்சயமாக நிராகரிப்போர் ஆகிவிட்டனர். ""மர்யமுடைய குமாரர் மஸீஹையும் அவருமடைய தாயாரையும் இன்னும் பூமியிலுள்ள அனைவரையும் அல்லாஹ் அழித்துவிட நாடினால், (அதிலிருந்து அவர்களைக் காக்க) எவர் சிறிதளவேனும் சக்தியோ அதிகாரமோ பெற்றிருக்கிறார்"" என்று (நபியே!) நீர் கேளும்;. வானங்களிலும், பூமியிலும், அவற்றிற்கு இடையேயும் உள்ள (பொருட்கள் அனைத்)தின் மீதுமுள்ள ஆட்சி அல்லாஹ்வுக்கே சொந்தம்;. அவன் நாடியதைப் படைக்கிறான்;. இன்னும் அல்லாஹ் எல்லாவற்றின் மீதும் ஆற்றலுடையவனாக இருக்கின்றான்."
& Delete,உரையை அழி
Move ~a onto the six of spades.,ஸ்பேடின் ஆறு மீது ~a ஐ நகர்த்து
and who preserve their trusts and their covenant,"இன்னும், அவர்கள் தங்கள் (இடம் ஒப்படைக்கப்பட்ட) அமானிப் பொருட்களையும், தங்கள் வாக்குறுதிகளையும் காப்பாற்றுவார்கள்."
"He said: So it shall surely be forbidden to them for forty years, they shall wander about in the land, therefore do not grieve for the nation of transgressors.","(அதற்கு அல்லாஹ்) ""அவ்வாறாயின் அது நாற்பது ஆண்டுகள் வரை அவர்களுக்கு நிச்சயமாகத் தடுக்கப்பட்டு விட்டது. (அது வரை) அவர்கள் பூமியில் தட்டழி(ந்து கெட்டலை)வார்கள்;. ஆகவே நீர் இத்தீய கூட்டத்தாரைப் பற்றிக் கவலை கொள்ள வேண்டாம்"" என்று கூறினான்."
The height of the pixmap bound to this texture,இந்த அமைப்பிற்கு பிணைக்கப்படும் பிக்ஸ்மேப்பின் உயரம்
So it's a year and a half earlier.,எனவே... ... அது ஒரு ஆண்டு மற்றும் ஒரு அரை முன்பு.
Allocate extra space for the child in horizontal axis,கிடைமட்ட அச்சில் சேய்கான கூடுதல் இடத்தை ஒதுக்கவும்
Debugger Frontend,டிபக்கர் பிரான்டட்Comment
You cannot get married until then.,நீங்கள் அதுவரை திருமணம் செய்துகொள்ள முடியாது.
The color of the stage,நிலையின் வண்ணம்
"No, I apologize. Yeah.","இல்லை, நான் மன்னிப்பு கேட்டுக்கொள்கிறேன்."
Close this window,இந்த சாளரத்தை மூடு
"Not frivolity will they hear therein, nor any taint of ill,-","அங்கு இவர்கள் வீணானதையும், பாவமுண்டாக்குவதையும் (கொண்ட பேச்சுகளைச்) செவியுற மாட்டார்கள்."
S.R.I. made inquiries... but the Kenyans weren't all that much help.,"ஆனால் நிரூபர்களிடம் இல்லை அனைத்து அந்த உதவ,"
Whether pressing return causes the activate signal to be emitted,திரும்பவும் அழுத்துவதால் ஒதுக்கப்பட்ட சிக்னல் மீண்டும் செயல்படுத்துகிறது
Thus does God seal the hearts of those who do not know.,"அவ்வாறே, இந்த அறிவில்லாதவர்களின் இருதயங்களின் மீது அல்லாஹ் முத்திரையிடுகிறான்."
We are not skint.,- நாங்க இல்லாதவங்க இல்ல
Disable use of the fixed function pipeline backend,நிலையான செயல்தொகுதி பைப்லைன் பின்புல முறைமையைப் பயன்படுத்துவதை முடக்கு
Contrast,வேறுபாடு
Sweeper,ஸ்வீப்பர்GenericName
We're just driving around.,நாங்கள்இருக்கிறோம்சுற்றிஓட்டுநர்
metadataeditor,தரவு தொகுப்பான்Name
"We would have been the chosen servants of Allah.""","""அல்லாஹ்வுடைய தூய அடியார்களாக நாங்கள் நிச்சயமாக ஆகியிருப்போம்"" என்று."
The rotation angle on the Y axis,Y அச்சின் சுழற்சி கோணம்
Burn _Several Copies,_S பல நகல்கள் எழுதுதல்
Grid,நீலம்
"There is no fault in the blind, and there is no fault in the lame, and there is no fault in the sick, neither in yourselves, that you eat of your houses, or your fathers' houses, or your mothers' houses, or your brothers' houses, or your sisters' houses, or the houses of your uncles or your aunts paternal, or the houses of your uncles or your aunts maternal, or that whereof you own the keys, or of your friend; there is no fault in you that you eat all together, or in groups separately. But when you enter houses, greet one another with a greeting from God, blessed and good. So God makes clear to you the signs; haply you will understand.","(முஃமின்களே! உங்களுடன் சேர்ந்து உணவருந்துவதில்) குருடர் மீதும் குற்றமில்லை முடவர் மீதும் குற்றமில்லை, நோயாளியின் மீதும் குற்றமில்லை உங்கள் மீதும் குற்றமில்லை நீங்கள் உங்கள் சொந்த வீடுகளிலோ அல்லது உங்கள் தந்தைமார் வீடுகளிலோ, அல்லது உங்கள் தாய்மார் வீடுகளிலோ, அல்லது உங்கள் சகோதரர் வீடுகளிலோ, அல்லது உங்கள் சகோதரிகள் வீடுகளிலோ, அல்லது உங்கள் தந்தையின் சகோதரர் வீடுகளிலோ, அல்லது உங்கள் தந்தையின் சகோதரிகள் வீடுகளிலோ, அல்லது உங்கள் தாயின் சகோதரர்கள் வீடுகளிலோ, அல்லது உங்கள் தாயாரின் சகோதரிகள் வீடுகளிலோ, அல்லது எ(ந்த வீட்டுடைய)தின் சாவிகள் உங்கள் வசம் இருக்கின்றதோ (அதிலும்) அல்லது உங்கள் தோழரின் வீடுகளிலோ, நீங்கள் சேர்ந்தோ அல்லது தனித்தனியாகவோ புசிப்பது உங்கள் மீது குற்றமாகாது ஆனால் நீங்கள் எந்த வீட்டில் பிரவேசித்தாலும் அல்லாஹ்விடமிருந்து உங்களுக்குக் கிடைத்திருக்கும் முபாரக்கான - பாக்கியம் மிக்க - பரிசுத்தமான (""அஸ்ஸலாமு அலைக்கும்"" என்னும்) நல்வாக்கியத்தை நீங்கள் உங்களுக்குள் கூறிக்கொள்ளுங்கள் - நீங்கள் அறிந்து கொள்வதற்காக, இவ்வாறு அல்லாஹ் உங்களுக்கு(த் தன்) வசனங்களை விவரிக்கிறான்."
Cursor Color,கர்சர் வண்ணம்
- How are we gonna get enough money in time?,நேரத்தில் போதுமான பணம் எடுப்பாய் இருக்கும்?
Lissajous loops. This one draws the progress of circular shapes along a path. http: / /en. wikipedia. org/ wiki/ Lissajous_curve Written by Alexander Jolk; 1997.,இன்னும் ஒரு லிசாகியஸ் வடிவம். முன்னேற்றப்பட்ட வட்ட வடிவத்தை பாதையின் வழியாக வரைகிறது. அலெக்ஸான்டர் சோல்க்கால் வரையப்பட்டது.
Size,தலைப்பு
Angle z tilt,z தலைப்பு கோணம்
Exchange Card %1,1 அட்டையை பரிமாறு
& Mike. McBride;,& Mike. McBride;
- What?,- என்ன?
These settings determines when the filter is applied to text.,பணிகளின் உரைக்கு அலங்காரத்தை பயன்படுத்தும்போது இந்த அமைப்புகள் வரையறுக்கிறது.
Shows the properties dialog for the currently selected item(s).,தற்போது தேர்வு செய்யப்பட்ட கோப்புகளை கம்பேர் கொண்டு ஒப்பிடுக.
Name,பெயர்
"Unless by Our benevolence, to reap advantage for a time.","நம்முடைய கருணையினால் சிறிது காலம் அவர்கள் சுகிப்பதற்காக (விட்டு வைக்கப்பட்டாலன்றி),"
Green means ready,பச்சை என்றால் தயார் என்று பொருள்
General,பொதுவான
Do you think it made any difference?,நீங்கள் எந்த மாற்றத்தையும் ஏற்படுத்தவில்லை என்று நினைக்கிறேன்?
south,தெற்கு
General,பொது
"%s is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version %d of the License, or (at your option) any later version.",%s இலவச மென் பொருளாகும். நீங்கள் இலவச மென் பொருள் அமைப்பினால் வெளியிடப்பட்ட ஜிஎன்யு பொது அனுமதிக்கான இந்த %d பதிப்பு அல்லது அடுத்த பதிப்புகள் விதிகளின் படி நீங்கள் (விருப்பப்படி) மாற்றலாம். அல்லது மீண்டும் பறிமாறலாம்
Device,சாதனம்
Adjusts the saturation of the image coming from the camera,கேமிராவில் இருந்து வரும் படங்களின் தெவிட்ட மட்டத்தை கட்டுப்படுத்துகிறது
Is used to notify that the table summary has changed,அட்டவணை சுருக்கம் மாற்றப்பட்டதைக் குறிப்பிட பயன்படும்
Searching/ Replacing Strings Table,தேடுகிறது/ தொடர்கள் அட்டவணையை இடம் மாற்றுகிறது
- ( both grunt ),- (இரண்டு கிரண்ட்)
Center Z,மையம் Z
_Quit,வெளியேறு (_Q)
Accessible Table Row Description,அணுகக்கூடிய அட்டவணை நிரை விளக்கம்
_Hint,"_உதவி குறிப்பு_New"" is for the menu item 'Game->New', implies ""New Game"
Name,பெயர்
table cell,அட்டவணை அறை
Breaching the genesis chamber is a Class B crime..,மீறினால்ஆதியாகமம்அறை ஒரு கிளாஸ் பி குற்றம் ..
"Say, [O Muhammad], ""Do you argue with us about Allah while He is our Lord and your Lord? For us are our deeds, and for you are your deeds. And we are sincere [in deed and intention] to Him.""","அல்லாஹ்வைப் பற்றி நீங்கள் எங்களிடம் தர்க்கிக்கிறீர்களா? அவனே எங்கள் இறைவனும், உங்கள் இறைவனும் ஆவான்;, எங்கள் செய்கைகளின் (பலன்) எங்களுக்கு, உங்கள் செய்கைகளின் (பலன்) உங்களுக்கு, மேலும் நாங்கள் அவனுக்கே கலப்பற்ற (ஈமான் உடைய)வர்களாக இருக்கின்றோம்"" என்று (நபியே! அவர்களுக்கு) நீர் கூறுவீராக."
Don't worry about it.,அதை பற்றி கவலைப்பட வேண்டாம்.
Who Needs Enemies?,யாருக்கு எதிரிகள் வேண்டும்?
Enabled,செயல்படுத்தப்பட்டது
Please wait while the project is loading.,திட்டம் ஏற்றப்படுகையில் தயவு செய்து காத்திருக்கவும்.
And from Our creation is a group that shows the truth and establishes justice with it.,நாம் படைத்தவர்களில் ஒரு கூட்டத்தார் இருக்கின்றார்கள். அவர்கள் சத்திய வழியைக் காட்டுகிறார்கள்; அதைக் கொண்டு நீதியும் செலுத்துகிறார்கள்.
Would you like to burn the selection of files across several media?,நீங்கள் தேர்ந்தெடுத்த கோப்புகளை பல ஊடகங்களுக்குள் விரவி எழுத விரும்புகிறீர்களா?
Open Project,திட்டத்தை திற
Plugins,செருகல்கள்
ZARTAN:,ZARTAN:
_Contents,உள்ளடக்கங்கள் (_C)
"SRI had no luck, so they asked us to take a crack at it.","செம்மை நெல் சாகுபடி, எந்த அதிர்ஷ்டம் இருந்தது, அதனால் அவர்கள் நமக்கு கேட்டார் இது ஒரு கிராக் எடுத்து,"
Specify:,உருவகைகள்
Zoom In,ஆழத்தை குறைக்கவும்
"Had these (idols, etc.) been aliha (gods), they would not have entered there (Hell), and all of them will abide therein.","இவை தெய்வங்களாக இருந்திருந்தால், (அந் நரகத்திற்கு) வந்து சேர்ந்திருக்க மாட்டா இன்னும் அனைவரும் அதில் நிரந்தரமாயிருப்பர்."
Could Not Delete Original File,அசல் கோப்பினை நீக்க முடியவில்லை
& Mike. McBride;,& Mike. McBride;
Move ~a onto the ten of diamonds.,டைமண்டின் பத்து மீது ~a ஐ நகர்த்து
Fragment shader,பகுதி நிழல்
Lars Doelle,லாரஸ் டொயல்லெ
_Contents,உள்ளடக்கங்கள் (_C)
Small,சிறிய
And withhold things of common use (from others).,"மேலும், அற்பமான (புழங்கும்) பொருள்களைக் (கொடுப்பதை விட்டும்) தடுக்கிறார்கள்."
"CCT, we're approaching..","சிசிடி, நாம்நெருங்கி.."
Height of the actor,நடிகருக்கான உயரம்
The number of vertical tiles,செங்குத்து ஓடுகளின் எண்ணிக்கை
International,சான்றிதழ் தகவல்
"♪ BABY, LIFE'S TOO SHORT",", வாழ்க்கை ♪ குழந்தை கூட குறும்"
Add,ஏ. கே. ஏ
Close,மூடு
Whether the current stream is seekable,தற்போதைய ஸ்ட்ரெம் தேடக்கூடியதாக இருந்தால்
